Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
40,29-09-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,10,22,33,NA
40,03-10-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,12,23,107,NA
40,06-10-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,23,50,NA
40,09-10-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,12,22,32,NA
40,14-10-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,12,23,79,NA
40,16-10-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,12,24,61,NA
40,20-10-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,12,23,62,NA
40,28-10-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,12,23,47,NA
40,30-10-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,13,24,99,NA
40,03-11-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,8,16,46,NA
40,05-11-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,10,22,36,NA
40,06-11-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,7,17,34,NA
40,10-11-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,12,23,49,NA
40,11-11-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,11,23,29,NA
40,12-11-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,13,26,66,NA
40,17-11-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,7,15,55,NA
40,20-11-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,6,17,26,NA
40,24-11-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,7,17,51,NA
40,27-11-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,7,16,39,NA
40,02-12-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,6,18,55,NA
40,04-12-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,6,19,36,NA
40,08-12-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,6,20,41,NA
40,11-12-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,6,21,30,NA
40,15-12-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,6,22,38,NA
40,18-12-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,6,22,41,NA
40,22-12-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,7,21,44,NA
40,26-12-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,6,23,39,NA
40,29-12-2015,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg., Mysore",Karnataka State Pollution Control Board,Households,7,23,46,NA
77,03-01-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,7,28,307.6666667,NA
77,06-01-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,7,30,208.6666667,NA
77,09-01-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,7,61,286.6666667,NA
77,13-01-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,7,35,272.6666667,NA
77,17-01-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,7,32,297,NA
77,20-01-2015,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,6,32,260.6666667,NA
